 Blood Bank Name, State, District, City, Address,Pincode, Contact No, Mobile, Helpline, Email, Nodal Officer , Contact Nodal Officer, Mobile Nodal Officer, Email Nodal Officer, Category, License #
Manav Seva Samiti Blood Bank,Madhya Pradesh,RATLAM,Ratlam,"Nagrik Vishram Griha College Road

",457001,0741 2239000 ,9039494095,,,,,,,,
S. S. Medical College Blood Bank,Madhya Pradesh,REWA,Rewa,S. S. Medical College,486001,0766 2257441,"09827583242, 09755461008",,,Dr. Santosh Singh,"09827583242, 09755461008","09827583242, 09755461008",dr.santoshgwl@gmail.com,Government,28C/8/96
District Hospital Blood Bank,Madhya Pradesh,SAGAR,Sagar,"District Hospital, (Tilli Hospital)",470001,07582 236548,9827245793,,bloodbankndhsagar@gmail.com,Dr. R. K. Dixit,9827245793,9827245793,rkdixit35@gmail.com,Government,28C/3/94
Bhagyoday Tirth Hospital Blood Bank,Madhya Pradesh,SAGAR,Sagar,"Khurai Road
",470002,0758 2266671,,,,,,,,,
Sadguru Blood Bank Chitrakoot,Madhya Pradesh,SATNA,Chitrakoot,"Sadguru Jankikund Chikitsalaya, Chitrakoot",485001,0767  0265320-6445,9935207959,,slabs@sadgurutrust.org,Dr. ABS Rajput,9935207959,9935207959,slabs@sadgurutrust.org,Private,28C/1/2009
District Hospital Blood Bank,Madhya Pradesh,SATNA,Satna,"District Hospital, Blood Bank",485001,07672 223226,9893738846,,,,,,,,
MP Birla Hospital and Priyamvada Birla Cancer Research Institute Blood Bank,Madhya Pradesh,SATNA,Satna,"J. R. Birla Road, Post Birla Vikas
",485005,"07672 257411, 07672 257412, 07672 404085","08224003814, 08224003804",,,,,,,,
District Hospital Blood Bank,Madhya Pradesh,SEHORE,Sehore,District Hospital,466001,07562 226737,9425650196,,,Dr. P. S. Armo,9425650196,9425650196,preetamsingharmo@gmail.com,Government,28C/49/97
District Hospital Blood Bank Seoni,Madhya Pradesh,SEONI,Seoni,Smt Indira Gandhi District Hospital Blood Bank ,480661,07692 220358,9827267407,,bbseoni@gmail.com,S.N.Gupta LT,9425176023,9425176023,drhvjain@gmail.com,Government,28 c/7/97/1-2-97
Burhar Central Hospital of South Eastern Coal Fields Limited Blood Bank,Madhya Pradesh,SHAHDOL,Dhanpuri,"Sohagpur Area, Dhanpuri Post",484114,07652 250223,9425890427,,,Dr. Sangita Tiwari,9425890427,9425890427,sangcil56@gmail.com,Government,28C/4/2006
District Hospital Blood Bank,Madhya Pradesh,SHAHDOL,Shahdol,"Shri Kushabhau Thakre, District Hospital",484001,07652 245256,9424646797,,bloodbankshahdol@gmail.com,Dr. Shilpi Sharaf,9424646797,9424646797,drshilpisaraf@gmail.com,Government,28C/18/96
Murlidhar Kripa Hospital Blood Bank,Madhya Pradesh,SHAJAPUR,Maxi,"Murlidhar Kripa Hospital of JK Mansingh Ka Trust, Maxi District, Shajapur
",465106,"07363 233426, 07363 233428",,,,,,,,,NON FUNCTIONAL BLOOD BANK
District Hospital Blood Bank,Madhya Pradesh,SHAJAPUR,Shajapur,District Hospital,465001,07364 222127 ,9425034695,,,Dr. S. D. Jaiswal,9425034695,9425034695,jaiswalpathsjr@gmail.com,Government,28C/02/02
District hospital sheopur,Madhya Pradesh,SHEOPUR,SHEOPUR, District Hospital Sheopur,476337,7746977417,"8,82,30,78,60,50,88,23,00,00,00,00,00,00,00,000",8823857039,samvidakarmchari.she@gmail.com,Dr. Rambabu Goyal,9425128462,9425128462,rboyal.ent@gmail.com,Government,28C/2/2011
District Hospital Blood Bank,Madhya Pradesh,SHIVPURI,Shivpuri,District Hospital,473551,07492 222362,9406570709,,csurgeonshimp@nic.in,Dr. Chandra Mohan Gupta,9406570709,9406570709,,Government,28C/45/97
District Hospital Blood Bank,Madhya Pradesh,SIDHI,Sidhi,"District Hospital, Blood Bank",486661,"07822 252207, 07822 252153 ",9584919194,,civilsurgeonsidhi@gmail.com,Dr. Rupesh verma,9584919194,9584919194,only9425179033@gmail.com,Government,28C/1/2008
Nehru Jan shatabdi Chikitsalaya Blood Bank ,Madhya Pradesh,SINGRAULI,Jayant,Nehru Jan shatabdi Chikitsalaya Blood Bank of Northern Coal Field Jyant Sinroli,486661,07805 254982,9406711454,,,Dr. S. K. Gupta,9406711454,9406711454,drskguptansc@gmail.com,Government,28C/5/2006
Red Cross Blood Bank,Madhya Pradesh,SINGRAULI,Singrauli,"NTPC Hospital, Vindhya Nagar
",486885,07805 245144,,,,,,,,,
District Hospital Blood Bank,Madhya Pradesh,TIKAMGARH,Tikamgarh,"Rajendra Hospital (District Hospital), Blood Bank",472001,07683 247396 ,9926750416,,,Dr. Vikas Jain,9926750416,9926750416,drjainvikas2@gmail.com,Government,28C/05/02
Grassim Hospital and Blood Bank,Madhya Pradesh,UJJAIN,Nagda,"Birlagram Nagda
",456001,07366 247200,,,,,,,,,
District Hospital Blood Bank,Madhya Pradesh,UJJAIN,Ujjain,District Hospital,456006,0734 2551077,9424892191,,bloodbankujjain2015@gmail.com,Dr. C. S. Bhargava,9424892191,9424892191,csbhargava12@gmail.com,Government,28C/9/96
Puspha Mission Hospital and Maternity Home Blood Bank,Madhya Pradesh,UJJAIN,Ujjain,Dewas Road,456001,0734 2526732,9425380020,,,,,,,,
Ujjain Charitable Trust Blood Bank,Madhya Pradesh,UJJAIN,Ujjain,"Ujjain
",456001,0734 4013621 ,,,,,,,,,
CR Gardi Hospital and RD Blood Bank,Madhya Pradesh,UJJAIN,Ujjain,"Gardi Medical College Sursa
",456006,0736 8261305,9630625611,,rdgmc_@sancharnet.in,Dr. P. L. Dhand,9630625611,9630625611,pldhandrdgmc@gmail.com,Private,28C/22/005
District Hospital Blood Bank,Madhya Pradesh,UMARIA,Umaria,District Hospital,484661,07653 222314,9827079695,,bloodbankumr@gmail.com,Dr. S. R. Kanaskar,9827079695,9827079695,santosh_kanaskar@rediffmail.com,Government,28C/4/09
District Hospital Blood Bank,Madhya Pradesh,VIDISHA,Vidisha,District Hospital,466001,07592 237825,9926472551,,,Dr. Pradeep Gupta,9926472551,9926472551,drpkgupta0@gmail.com,Government,28C/03/97
Civil Surgeon General Hospital Blood Bank,Maharashtra,AHMEDNAGAR,Ahmednagar,"District Government Hospital Tarakpur Savedi Road, Ahmednagar",414001,0241 2430127 (Office),9552898779,,bloodbankcha37@gmail.com,Dr.Shingare Madam,0241 2430127 (Office),"09552898779, 08805557714","bloodbankcha37@gmail.com, csmdngr999@rediffmail.com",Government,1010
Sanjeevani Blood Bank Kopargaon,Maharashtra,AHMEDNAGAR,Ahmednagar,"110, 2/B Nishigandh, Vivekanand Nagar, Near  S.G. Vidyalay, Kopargaon
",423601,"02423 222237, 02423 224885, 02423 223117",7588567384,,,Dr. B. S. Dhakane,"02423 222237, 02423 224885, 02423 223117",7588567384,"neeetapatil@gmail.com,",Charity,NKD15
Rotary Blood Bank - Rahuri Charitable Trust,Maharashtra,AHMEDNAGAR,Ahmednagar,"Acharya Anand Rushiji Bhavan, Near Water Tank, Nagar Manmad Road,  A/P Rahuri, Ahmednagar District
",413705,02426 232975,9421329802,,,Dr. Ashish Uttamrao Patil,02426 232975,9421329802,rotarybloodbankrahuri@gmail.com,Charity,NKD/4
Arpan Blood Bank,Maharashtra,AHMEDNAGAR,Ahmednagar,"First Floor, H.No.1542/43, Above Bank of Badoda, Swatantrya Chowk, Sangamner,  Ahmednagar District
",422605,"02425 226036, 02425 220457",9822324340,,nandkishor@arpanbloodbank.org,Dr. Poonam Nighute,"02425 226036, 02425 220457",9822324340,nandkishor@arpanbloodbank.org,Charity,NKD/3
Jankalyan Blood Bank Nalegaon,Maharashtra,AHMEDNAGAR,Ahmednagar,"Gadgil Patangan, Nalegaon, Ahmednagar

",414001,"0241 2346647, 0241 2329827",9028088589,,jankalyanbloodbanknagar@rediffmail.com,Mr. Mukesh Sathaye,"0241 2346647, 0241 2329827",9028088589,"mukesh9s@yahoo.com, jankalyanbloodbanknagar@rediffmail.com",Charity,NKD/16
Pravara Medical Trust Blood Bank - Pravara Rural Hospital and Medical Dental College Loni (BK),Maharashtra,AHMEDNAGAR,Ahmednagar,"Pravara Rural Hospital & Medical Dental College Loni (BK) TQ. Rahata, Ahmednagar ",413736,"02422 271201, 02422 271528, 02422 2733413 ",9823206964,,,Dr. Pramod Pargaonkar,02422 271201                      ,9823206964,bloodbank@pmtpims.org,Charity,NKD/6
Jondhale&#39;s Nitya Seva Blood Bank,Maharashtra,AHMEDNAGAR,Ahmednagar,"R.C.Complex, Mamlatdar Kacheri Road, Shrirampur,                  Ahmednagar
",413709,02422 225000,8888008686,,jnbb.orj@gmail.com,Dr. Om Rajaram Jondhale,02422 222797,8888008686,"dr.om.jondhale@gmail.com, jnbb.orj@gmail.com",Charity,NKD28
Shri Sainath Blood Bank,Maharashtra,AHMEDNAGAR,Ahmednagar,"Opposite to Bus Stand,  Shri Saibaba Sansthan, Shirdi Tal - Rahata
",423109,02423 258525 ,9822596036,,,Dr. Maithilee Yashodhan Pitambare ,02423 258525 ,9822596036,"drpatilsr@rediffmail.com,",Charity,NKD21
"Padmashri Dr. Vithalrao Vikhe Patil Foundation, Ahmednagar Medical College Hospital Blood Bank",Maharashtra,AHMEDNAGAR,Ahmednagar,"Opposite to Government Milk Dairy, Vadgaon Gupta  M.I.D.C., Ahmednagar ",414111,0241 2778042 (Exte-449),9881573633,,,Dr. Sadhana Khaparde,0241 2778042,9881573633,"sadhanahk36@gmail.com, bloodbank@vims.edu.in",Charity,NKD/44
Shrirampur Blood Bank,Maharashtra,AHMEDNAGAR,Ahmednagar,Shrirampur,413709,"02422 224293, 02422 210600        ","09850547747, 09623016083 ",,,,,,,Private,
Anand Rushiji Blood Bank,Maharashtra,AHMEDNAGAR,Ahmednagar,"Survey No.16/1, Plot No.2 Behind Anadrushiji Hospital Burudgaon Road,
",414001,"0241 2320472, 0241 2320473, 0241 2320474",9049673565,,,Dr. Mukund Tandale,"0241 2320472, 0241 2320473, 0241 2320474",9049673565,ar.bloodbank@gmail.com,Charity,NKD/42
"Jeevanraj Charitable Foundation,s Ahmednagar Blood Bank",Maharashtra,AHMEDNAGAR,Ahmednagar,"F.P. No. - 17, 2nd Floor, Ahmednagar Zillha Krishi Audyogik Sarva Seva Sahakari Sanstha Maryadit, Market Yard, Ahmednagar
",414001,0241 2450099,9225570262,,,Dr. Dharmesh Gandhi,0241 2450099,9225570262,"nagarbloodbank@rediffmail.com, nagar_bloodbnk@rediffmail.com",Charity,NKD/45
Nandkishor Education Society - Arpan Blood Bank,Maharashtra,AHMEDNAGAR,Ahmednagar,"2nd  Floor, Sahakar Kranti Building, Market Yard, Nagar - Pune Road 
",414001,"0241 2451700, 0241 2451800",9822324340,,"nandkishor@arpanbloodbank.org,",Dr. Narendra Patil,"0241 2451700, 0241 2451800",9822324340,nandkishor@arpanbloodbank.org,Charity,NKD/46
"Poonam Janjagruti Sanstha Sanchit, Ashtavinayak Blood Bank",Maharashtra,AHMEDNAGAR,Ahmednagar,"Ashtavinayak Blood Bank, Ahmednagar  1st Floor, Sai Palace Opposite  to Akashwani Kendra, Near Professsor Coloney Chowk, Ahmednagar
",414003,0241 2421334 ,,,ashtavinayakbloodbank@gmail.com,Dr. Patankar Shailendra Ashok,0241 2421334 ,9822307180,"drsapatankar@gmail.com, aashtavinayakbloodbank@gmail.com",Charity,NKD/49
Ahmednagar Municipal Council Blood Bank,Maharashtra,AHMEDNAGAR,Ahmednagar,Ahmednagar,,,,,,,,,,Government,
Civil Surgeon General Hospital Blood Bank,Maharashtra,AKOLA,Akola,"District General Hospital Compound, Z.P. Road, Akola
",444001,0724 2434401,9767111950,,bloodbankgmcakola@gmail.com,Dr. Smita Chim,0724 2434401,9767111950,"csnrhmakola@gmail.com, bloodbankgmcakola@gmail.com,",Government,984
District Hospital for Women Blood Bank,Maharashtra,AKOLA,Akola,"Plot No.2, OPD Building, District Hospital for Women, Near Durga Chowk, Akola-444005
",444001,"0724 2433398, 0724 2433778 ","09422862490, 09730907515, 09422955523",,dhw_akola@rediffmail.com,Dr. Dhananjay Chimankar ,"0724 2433398, 0724 2433778 ",9422862490,"dhw_akola@rediffmail.com,",Government,
Dr. Vivek Pimpalkar Blood Bank,Maharashtra,AKOLA,Akola,"Najul Shit No. 408, Plot No-9/7, Krishna Kripa Building,  M.G.Road, Akola
",444101,0724 2438271 ,"09423848910, 09850650044",,,Dr. Bhaskar V. Bhinge,0724 2438271,"09423848910, 09850650044","vivekarvindpimparkar@gmail.com,",Private,AMD/BB-01/95
Shriram Blood Bank,Maharashtra,AKOLA,Akola,"T. K. Chambers, Ratanlal Plot, Akola ",444005,"0724 2433175, 0724 2432175",9823071925,,,Dr. P. S. Aher ,"0724 2433175, 0724 2432175",9823071925,"aherprakash@hotmail.com,",Private,AMD/BB/18/2000
Akola Diagnostic Centre Blood Bank and Component Lab,Maharashtra,AKOLA,Akola,"Shivshirsh, Opposite to Gajanan Hospital, Ramnagar, Akola
",444001,0724 2458777,9823048379,,akoladiagnostic@rediffmail.com,Dr. K. K. Agarwal ,0724 2458777,9823048379,"akoladiagnostic@rediffmail.com,",Charity,AMD/BB/25/2013
Dr. Mankar Memorial Blood Bank,Maharashtra,AKOLA,Akola,"Mankar Hospital, 2nd Floor, Dr. Mankar Smruti Building, Aastha Hospital, Opposite to Khandelwal CT-Scan Centre, Amanakha Plot,  Civil Line, Akola",444001,0724 2457530 ,"09823243771, 09422162787",,,Dr. Pandurang .S. Toshniwal ,0724 2457530 ,"09823243771, 09422162787"," Sach2112@gmail.com,",Charity,AMD/BB/24/2003
Dr. Hedgewar Blood Bank,Maharashtra,AKOLA,Akola,"Balaji Plot  SBI Colony No - 1,  Near Jathat Peth,  No.1 Akola
",444005,"0724 2491264, 0724 2491265, 0724 2491266","09422862482, 09423125215",,,Dr. Sameer Deshmukh / Dr Kshitija Marathe  ,"0724 2491264, 0724 2491265, 0724 2491266","09422862482, 09423125215","siddhsamir@rediffmail.com,",Charity,AMD/BB/25/2003
ICON Blood Bank - Ganediwal Charitable Trust,Maharashtra,AKOLA,Akola,"Ganediwal Charitable Trust, ICON Blood Bank, ICON Hospital, Kedia Plot, Akola",444 001,0724 2411263,,,iconakola@rediffmail.com,"Dr. Yogesh Bhatiwal, ",0724 2411263,,"iconakola@rediffmail.com,",Charity,AMD/BB/24/2011
Sai Jeewan Blood Bank,Maharashtra,AKOLA,Akola,"Shri Balyogi Shikshan Prasarak Mandal Charitable Trust, Akola",,,,,,,,,,Charity,
District General Hospital Blood Bank Amravati,Maharashtra,AMRAVATI,Amravati,"Dr. Babasaheb Ambedkar Chowk, District General Hospital Blood Bank, Amaravati",444601,"0721 2663337, 0721 2663339, 0721 2663338",7385331819,,cs_amravati@rediffmail.com,Dr. Vilas Jadhav,0721 2663337,9763599173,dr.vilasjadhav@gmail.com,Government,AMD/BB/18/2000
Shri Balaji Blood Bank & component lab Amravati,Maharashtra,AMRAVATI,Amravati,"1st Floor, Alsi Complex, Ambapeth, Amravati
",444601,0721 2671600 ,"09422155201, 09823045532",,"drckdara@yahoo.com,",Dr. C. K. Dara ,0721 2671600,"09422155201, 09823045532",drckdara@yahoo.com,Charity,AMD/BB/22/10
Dr. P.D.M.H.C. Hospital and Research Centre Blood Bank,Maharashtra,AMRAVATI,Amravati,"Block-A,1st Floor, Shivaji Nagar, Amravati 
",440603,0721 2665545,9766325831,,sandippatil@gmail.com,"Dr. J. P. Laddha, Dr. A. A. Tayde",0721 2665545,9766325831,bloodbankdrpdmmc@gmail.com,Charity,AMD/BB/14/99 
Sant Gadgebaba Blood Bank and Component Centre Badnera,Maharashtra,AMRAVATI,Amravati,"Opposite to Shrihari Hospital, Juni Vasti (Old Town), Badnera  Amravati
",444701,"0721 2580490, 0721 2580455              ",9422915633,,sopanblood@gmail.com,Dr. Anil M Kavimandan,"0721 2580490, 0721 2580455              ",9422915633,"sopanblood@gmail.com,",Charity,AMD/BB/29/2009
Dr. Late Sadanadaji Burma Memorial Blood Bank,Maharashtra,AMRAVATI,Amravati,"Plot No- 53, Sheet No-20c, Gvalipura,  Sadar Bazar, Paratwada, Amravati
",444805,8484010184,9403621600,,rsburma@yahoo.co.in,Dr. Pramod M. Shete  ,8484010184,9403621600,"rsburma@yahoo.co.in,",Charity,AMD/BB/23/2011
Regional Blood Bank Government Medical College and Hospital,Maharashtra,AURANGABAD,Aurangabad,"Regional Blood Bank Government Medical College and Hospital, Aurangabad, (GHATI)",431001,"0240 2402108, 0240 2402418",9890281663,,bbgmchabad@gmail.com,Dr. Jaiswal,"0240 2402108, 0240 2402418",9890281663,bbgmchabad@gmail.com,Government,28/AD/006
Mahatma Gandhi Mishan (MGM) Hospital Blood Bank,Maharashtra,AURANGABAD,Aurangabad,"Mahatma Gandhi Mishan Medical College & Hospital Blood Bank, N-6, Town Center,  CIDCO,  Aurangabad ",431003,"0240 6601100, 0240 6601167",9371012383,,drcpbhale@rediffmail.com,Dr. C. P. Bhale ,"0240 6601100, 0240 6601167",9371012383,"drcpbhale@rediffmail.com, Mahadev.Gayke@rediffmail.com",Charity,AD/BB/18
Dattaji Bhale Blood Bank - Hedgewar Hospital,Maharashtra,AURANGABAD,Aurangabad,"C/o. Dr. Hegdewar Rugnalaya Campus, Near Gajanan Mandir, Jawahar Colony Road, Garkheda Parisar,  Aurangabad
",431005,"0240 2335196, 0240 2331195, 0240 2352371",9822435509,,mahendrasingh-chauhan@hedgewar.org,Dr.Mahendrasingh H. Chauhan (M.D.Path),"0240 2335196, 0240 2331195, 0240 2352371",9822435509,"Mahendrasingh-chauhan@hedgewar.org, hedgewar@hotmail.com, contact@hedgewar.org",Charity,AD/BB/011/20/12/2001
Lokmanya Blood Bank,Maharashtra,AURANGABAD,Aurangabad,"Gopinath Chember,  Basement Floor, Behind Jaydev Travels, Adalat Road,  Aurangabad ",431005,"0240 6602163, 0240 2328362 ",9370527120,,adm.lokmanya@gmail.com,Dr. Fouzia Siddiqui ,"0240 6602163, 0240 2328362 ",9370527120,adm.lokmanya@gmail.com,Charity,AD/BB/020
Seth Nandlal Dhoot Hospital Blood Bank,Maharashtra,AURANGABAD,Aurangabad,"Plot No A-1, MIDC Chikalthana, Jalna Road, Aurangabad
",431210,0240 2489001 - 10,9225334164,, bloodbank@dhoothospital.com,Dr. Aprana Kulkarni,0240 2489001 - 10,9225334164, bloodbank@dhoothospital.com,Charity,AD/BB/006
Arpan Voluntary (Marathwada)  Blood Bank,Maharashtra,AURANGABAD,Aurangabad,"2nd Floor, Soniya Chambers, Near Uddhanpula, Seven Hills, Jalna Road, Aurangabad
",431001,"0240 2345359, 0240 6604204",9860078075,,nandkishor@arpanbloodbank.org,Dr. Prakash Patni ,"0240 2345359, 0240 6604204",9860078075,"rafiq.khan@marathwadabloodbank.info, nandkishor@arpanbloodbank.org",Charity,AD/BB/23
Amruta Blood Bank,Maharashtra,AURANGABAD,Aurangabad,"Shop No- 102/103, 1st Floor ,Nano Comlex Near Shanoormiya Arga, Vegetable Arket, Shahnoorwadi, Aurangabad
",431001,0240 2060145 ,"08087527390, 09404471720, 09850410343, 08380073333",,amrutabloodbank@gmail.com,Dr. A. P. Choudhari,0240 2060145 ,"08087527390, 09404471720, 09850410343, 08380073333","amrutabloodbank@gmail.com,",Charity,AD/BB/26
Aurangabad Blood Bank,Maharashtra,AURANGABAD,Aurangabad,"Opposite to Sparsh Hospital, Jawahar Nagar Akashwani Aurangabad
",431001,"0240 6002002, 0240 2330400",9922650892,,aurangabadbloodbank@gmail.com,Dr. Wanole ,"0240 6002002, 0240 2330400",9922650892,"aurangabadbloodbank@gmail.com,",Charity,AD/BB/29
Lions Blood Bank,Maharashtra,AURANGABAD,Aurangabad,"1st Floor, above Lions  Balsadan, Near Teg Bahadur English School, Osmanpura, Aurangabad ",431005,"0240 2340250, 2337255",8275092594,,lionsbloodbank0708@gmail.com,Dr. Sheetal Patil ,0240 2340250,9423719553,"lionsbloodbank0708@gmail.com,",Charity,AD/BB/31
Civil Surgeon General Hospital Blood Bank,Maharashtra,BEED,Beed,"Civil Surgeon District General Hospital, Barshi Road, Beed  ",431122,02442 220609,9822541028,,bloodbankbeed@rediffmail.com,Dr. M. R. Jadhav ,02442 220609,9822541028,"cs_beed@rediffmail.com, bloodbankbeed@rediffmail.com",Government,28/AD/009
Swami Ramanand Tirth Arben Medical College Hospital Blood Bank,Maharashtra,BEED,Beed,"Swami Ramanand Tirth Arben Medical College Hospital Ambajogai Tq. Ambajogai,  Beed",431517,02446 244472 ,9422467018,,srtrgmcbb@gmail.com,Dr. Rahul Dake,02446 244472 ,9422467018,srtrgmcbb@gmail.com,Government,20 – 1028    [Component License No:AD/BB/33]     
Vaidynath Blood Bank,Maharashtra,BEED,Beed,"Mundhe Children Hospital, Near Dube Petrol Pump, Jai Nagar, Parli-Vaijnath, Beed",431515,02446 223584,9422242419,9673771797,,Dr. Suryakant Mundhe,02446 223584,9422242419,Drsuryakantmundhe@gmail.com,Charity,AD/BB/015
Navjivan Blood Bank,Maharashtra,BEED,Beed,"Plot No 2-10-240 1 st Floor, Jalna Road, Opposite to M.S.E.B. Office, Beed ",431122,"02442 233423, 02442 232434, 02442 223975",9890297246,,,,,,,Charity,
Arpan Blood Bank Beed,Maharashtra,BEED,Beed,"3rd Floor, Thorat Multispeciality Hospital, D.P. Road, Anand Nagar, Ambejogai, Dist - Beed,
",431517,02446 245002           ,9421352152,,nandkishor@arpanbloodbank.org,Dr. Ashwini Gore ,02446 245002                    ,9421352152,nandkishor@arpanbloodbank.org ,Charity,AD/BB/35
Civil Hospital Bhandara Blood Bank,Maharashtra,BHANDARA,Bhandara,"General Hospital Blood Bank, Bhandara
",441904,"07184 252247(Hospital), 07184 250725(Blood Bank)",9422809711,,bloodbank_bhandara@rediffmail.com,Dr. M. L. Kate ,"07184 252247(Hospital), 07184 250725(Blood Bank)",9422809711,"bloodbank_bhandara@rediffmail.com,",Government,Licence in correct format not recived from FDA
Jeevandhara Buldana Urban Blood Bank,Maharashtra,BULDHANA,Buldana,"1st Floor, DSD City Mall, Above Bank of India, Tehsil to Stadium Road, Buldhana 
",443001,9657221122,9922527555,,maheshbhakkad@gmail.com,Dr. S. R. Patil,9657221122,9922527555,"maheshbhakkad@gmail.com,",Charity,Amd/BB/26/2013
Government Hospital Blood Bank,Maharashtra,BULDHANA,Buldhana,"General Hospital Shegaon Road, Khamgaon, Buldhana",444303,"07263 255332, 07263 254571","09822782898, 09011580154 ",,"ghkbb134@gmail.com, ms_ghkhamgaon@rediffmail.com",Dr. Anil R. Saorde ,"07263 255332, 07263 254571",9822782898,ms_ghkhamgaon@rediffmail.com,Government,AMD/BB/32/1998
Saibai Mote General Hospital Blood Bank,Maharashtra,BULDHANA,Buldhana,"Saibai Mote General Hospital, Shegaon, Buldhana",444203,07265 252020,9764550722,,,Dr. P. B. Pandit,07265 252020,9764550722,,Government,AMD/BB/13/98
Civil Surgeon District General Hospital Blood Bank,Maharashtra,BULDHANA,Buldhana,"General Hospital Blood Bank Buldhana, Near Prabadhan School, Bhonde Sarakar Chauk Bhuldhana(M.S)",443001,07262 242423 (Extn.234),"09423452824, 09422184152 (Tech)",,cs_buldhana@rediffmail.com,"Dr. A. K. Pardhe, Sapkale",07262 242423 (Extn.234),9423452824,"cs_buldhana@rediffmail.com, bb225@mahasbtc.com",Government,ND-11
Dr. Murlidhar Kharche Memorial Jeevan Jyoti Blood Bank,Maharashtra,BULDHANA,Buldhana,"Bharat Kala Road, Malkapur, Buldhana ",443101,07267 26700,9423144276,,jkpatho@gmail.com,Smt. Dr. Jaishri Kharche,07267 26700,9423144276,"jkpatho@gmail.com,",Private,AMD/DB/17/93
Lilavati Blood Bank,Maharashtra,BULDHANA,Buldhana,"John Lay Out, Jamrnn Road, Near Bus stand, Buldhana",443001,07262 243811,9422180490,,,Dr. Ajit Dalsing S.,07262 243811,9422180490,dr.ajitshirsat@rediffmail.com,Private,AMD/BB/21/2001
Shri. Brahman Swrankar Samaj Trust Blood Bank,Maharashtra,BULDHANA,Khamgaon,"Farshi, Main Road, Khamgaon, Buldhana",444303,07263 255577,9422883786,,,Dr. Gopal Soni ,07263 255577,9422883786,"sonigopal2000@gmail.com,",Charity,AMD/BB/26/2004
General Hospital Blood Bank,Maharashtra,CHANDRAPUR,Chandrapur,"Government General Hospital Blood Bank, Near Chota Bazar, Main Road, Mahatma Gandhi Marg, Chandrapur",442402,"07172 252103, 07172 253992",7620048023,,bbchandrapur@gmail.com,Dr. Anant Hazare ,07172 270193,7620048023,bbchandrapur@gmail.com,Government,ND/4
Ankur Hospital Blood Bank,Maharashtra,CHANDRAPUR,Chandrapur,"Balaji Ward, Chandrapur",442402,"07172 251522, 07172 255522, 07172 264522",9422135495,,ankurhospital@rediffmail.com,"Dr. Vilas Mulay, Dr. Mrs. Nilima Mulay","07172 251522, 07172 255522, 07172 264522","09422135495, 09422176697 ",ankurhospital@rediffmail.com,Charity,ND/BB/22
Dr. Ninawe Blood Bank,Maharashtra,CHANDRAPUR,Chandrapur,"Niwane Hospital, Near Benglur Bakery, Kasturba Road, Chandrapur",442402,"07172 254884, 07172 254994      ","09422138720, 09421718892","07083403399, 07083503399",,Dr. Rima.W Ninawe,07172 254884,"08177983399, 09689356804",,Charity,Applied for Renewal
Christanand Education Society Blood Bank,Maharashtra,CHANDRAPUR,Chandrapur,"Christanand Education Society Blood Bank,  Christanand Hospital, Gujri Ward No.2, Brahmapuri",441206,"07177 272016, 07177 271109",9881804284,,christanandhosp@gmail.com,Dr. Nitin Chauhan ,"07177 271109, 07177 272016, 07177 273068",9881804284,"christanandhosp@gmail.com, nitin.chauhan1970@gmail.com",Charity,ND/32 
Shahada Blood Bank (Whole Human Blood),Maharashtra,DHULE,,Shahada,,02565 223446,"09371855918, 08421756756",,,,,,,Charity,
Shri Bhausaheb Hire Government Medical College and Hospital Blood Bank,Maharashtra,DHULE,Dhule,"Civil Hospital Compound, Sakri Road Dhule",424001,02562 288833,9422780176,,bloodbankdhule@gmail.com,Dr. Deepak Shejwal,02562 288833,"09890607987, 09422786370",bloodbankdhule@gmail.com,Government,1020
Navjeevan Medical Relief & Research Society&#39;s Shree Navjeevan Blood Bank and Component Laboratary,Maharashtra,DHULE,Dhule,"Plot No. 39, S. No. 579/3+5, Sushil Nagar Behind Vaibhav Nagar, Dhule.(424001)(M.S.)",424001,"02562 245662, 02562 246289, 02562 244662","09881171637, 09422714375, 09422387555",02562 244662,navjeevan.dhule@gmail.com,Dr. Sunil Bhanudas Chaudhari,"02562 245662, 02562 246289, 02562 244662","09422714375, 09422387555",navjeevan.dhule@gmail.com,Charity,NKD/2
Jawahar Medical Foundation Blood Bank,Maharashtra,DHULE,Dhule,"Hutatma Shririshkumar Nagar, Opposite to Jawahar Suthgirani, Morane, Sakri Road, Dhule",424001,"02562 276317, 02562 277298",9922553307,,acpm@rediffmail.com,Dr. Ravindra Kotware,02562 276317,9922553307,acpm@rediffmail.com,Charity,
Jeevan Jyoti Blood Bank,Maharashtra,DHULE,Dhule,"3252 Agra Road, Near Prabhakar Theater",424001,02562 232807,9422562094,,bb_jyoti@yahoo.com,Dr. Anand Rodrigues   ,"02562 232807, 02562 236807",9422562094,bb_jyoti@yahoo.com,Charity,NKD/10 
Nirnay Janseva Blood Bank,Maharashtra,DHULE,Dhule,"Fulwala Chowk, (C.S.No.1415/A/1/A) Lane No. 4  Dr. Odhekar Building, Agra Road",424001,02562 238262,9730733888,,nirnayjansevabloodbank@gmail.com,Dr. P. N. KOCHER ,"02562 238555, 02562 325768",9730733888,nirnayjansevabloodbank@gmail.com,Charity,NKD/55 
